Ensembl Gene ID	Human Ensembl Gene ID	dS	dN	% Identity	Human % Identity
FBgn0020622	ENSG00000105647			28	19
FBgn0020622	ENSG00000117461			28	31
FBgn0020622	ENSG00000145675			27	19
FBgn0004611	ENSG00000149782			37	39
FBgn0004611	ENSG00000137841			32	36
FBgn0004611	ENSG00000182621			36	39
FBgn0031250	ENSG00000112759			28	29
FBgn0031250	ENSG00000174669			29	30
FBgn0031250	ENSG00000198246			26	26
FBgn0000061	ENSG00000156150			16	19
FBgn0000061	ENSG00000180318			18	23
FBgn0000061	ENSG00000175329			14	24
FBgn0003278	ENSG00000125630			45	44
FBgn0015567	ENSG00000196961			68	66
FBgn0015567	ENSG00000183020			69	70
FBgn0023444	ENSG00000177565			54	73
FBgn0023444	ENSG00000101849			54	65
FBgn0023444	ENSG00000092377			52	70
FBgn0023444	ENSG00000150627			17	9
FBgn0031252	ENSG00000104889			41	48
FBgn0002593	ENSG00000137818			55	54
FBgn0031254	ENSG00000214087			25	24
FBgn0031255	ENSG00000165533			29	31
FBgn0004583	ENSG00000139926			9	20
FBgn0004583	ENSG00000153303			8	21
FBgn0015924	ENSG00000073060			26	25
FBgn0031256	ENSG00000090520			62	62
FBgn0027592	ENSG00000099917			27	26
FBgn0043364	ENSG00000105610			16	19
FBgn0043364	ENSG00000127528			16	19
FBgn0043364	ENSG00000136826			16	14
FBgn0003963	ENSG00000179588			13	15
FBgn0003963	ENSG00000169946			13	13
FBgn0010602	ENSG00000103275			85	85
FBgn0031260	ENSG00000101294			57	52
FBgn0260933	ENSG00000187535			32	32
FBgn0031263	ENSG00000112212			29	32
FBgn0031263	ENSG00000100300			39	43
FBgn0031264	ENSG00000145741			12	45
FBgn0031264	ENSG00000134717			13	64
FBgn0021874	ENSG00000073536			56	56
FBgn0031266	ENSG00000115524			77	80
FBgn0031267	ENSG00000151151			34	25
FBgn0010323	ENSG00000133937			16	31
FBgn0010323	ENSG00000063515			15	36
FBgn0010323	ENSG00000186103			10	15
FBgn0031273	ENSG00000126653			6	9
FBgn0000497	ENSG00000166341			33	35
FBgn0000497	ENSG00000197410			25	31
FBgn0011244	ENSG00000144381			50	57
FBgn0026438	ENSG00000106688			36	40
FBgn0026438	ENSG00000105281			29	31
FBgn0026438	ENSG00000115902			28	30
FBgn0031275	ENSG00000136928			19	18
FBgn0031275	ENSG00000175697			12	13
FBgn0031279	ENSG00000093217			37	40
FBgn0086130	ENSG00000182810			30	30
FBgn0031282	ENSG00000108733			30	25
FBgn0031284	ENSG00000148985			43	35
FBgn0015621	ENSG00000160917			52	57
FBgn0015621	ENSG00000187959			32	53
FBgn0031285	ENSG00000135916			15	18
FBgn0031285	ENSG00000136156			17	21
FBgn0031285	ENSG00000078596			18	21
FBgn0031286	ENSG00000174374			37	37
FBgn0010583	ENSG00000158092			44	48
FBgn0010583	ENSG00000071051			42	45
FBgn0020304	ENSG00000173744			30	26
FBgn0020304	ENSG00000106351			22	23
FBgn0031287	ENSG00000120688			33	30
FBgn0020545	ENSG00000183569			29	31
FBgn0029095	ENSG00000177106			19	22
FBgn0029095	ENSG00000151491			20	19
FBgn0029095	ENSG00000131037			20	22
FBgn0029095	ENSG00000198758			16	22
FBgn0020305	ENSG00000111615			60	54
FBgn0028481	ENSG00000179104			33	37
FBgn0031296	ENSG00000196531			26	10
FBgn0031296	ENSG00000253506			23	37
FBgn0031296	ENSG00000136274			28	6
FBgn0015905	ENSG00000034533			19	24
FBgn0031298	ENSG00000101844			37	39
FBgn0031298	ENSG00000168397			39	40
FBgn0031299	ENSG00000177453			32	39
FBgn0261938	ENSG00000099821			34	38
FBgn0031304	ENSG00000036054			45	44
FBgn0031308	ENSG00000117481			28	36
FBgn0031309	ENSG00000111358			45	44
FBgn0031310	ENSG00000111237			83	81
FBgn0261458	ENSG00000131236			47	42
FBgn0261458	ENSG00000112186			48	43
FBgn0031312	ENSG00000153989			27	26
FBgn0031314	ENSG00000138614			33	37
FBgn0024314	ENSG00000137055			36	36
FBgn0051922	ENSG00000100319			32	26
FBgn0031318	ENSG00000182872			24	26
FBgn0031318	ENSG00000003756			23	29
FBgn0031318	ENSG00000004534			19	17
FBgn0031321	ENSG00000213339			53	57
FBgn0031322	ENSG00000137094			53	40
FBgn0031322	ENSG00000132002			49	51
FBgn0031322	ENSG00000162616			52	54
FBgn0041097	ENSG00000169855			26	21
FBgn0041097	ENSG00000185008			25	24
FBgn0041097	ENSG00000154134			24	23
FBgn0041097	ENSG00000154133			12	15
FBgn0031331	ENSG00000170035			66	54
FBgn0031331	ENSG00000170142			62	54
FBgn0031331	ENSG00000182247			65	55
FBgn0026141	ENSG00000088986			94	94
FBgn0031332	ENSG00000130021			22	26
FBgn0031333	ENSG00000130021			22	27
FBgn0051924	ENSG00000130021			43	37
FBgn0031335	ENSG00000130021			40	39
FBgn0053126	ENSG00000189058			32	38
FBgn0002543	ENSG00000169855			25	22
FBgn0002543	ENSG00000185008			24	25
FBgn0002543	ENSG00000154134			23	24
FBgn0002543	ENSG00000154133			11	16
FBgn0051928	ENSG00000096088			28	30
FBgn0051928	ENSG00000143839			27	28
FBgn0051928	ENSG00000186318			19	16
FBgn0051928	ENSG00000182240			20	16
FBgn0053128	ENSG00000096088			36	38
FBgn0053128	ENSG00000143839			31	31
FBgn0053128	ENSG00000186318			18	15
FBgn0053128	ENSG00000182240			20	16
FBgn0051926	ENSG00000096088			31	33
FBgn0051926	ENSG00000143839			29	29
FBgn0051926	ENSG00000186318			20	17
FBgn0051926	ENSG00000182240			21	17
FBgn0051661	ENSG00000096088			30	30
FBgn0051661	ENSG00000143839			27	26
FBgn0051661	ENSG00000186318			19	15
FBgn0051661	ENSG00000182240			20	15
FBgn0261509	ENSG00000136457			7	25
FBgn0261509	ENSG00000100399			8	13
FBgn0051935	ENSG00000115839			31	29
FBgn0021906	ENSG00000169021			37	35
FBgn0011570	ENSG00000077549			77	77
FBgn0031356	ENSG00000103978			39	37
FBgn0031356	ENSG00000153214			38	37
FBgn0031357	ENSG00000175581			27	23
FBgn0086698	ENSG00000143951			20	25
FBgn0031359	ENSG00000114120			48	56
FBgn0031359	ENSG00000171612			46	51
FBgn0000579	ENSG00000074800			73	73
FBgn0000579	ENSG00000111674			73	72
FBgn0000579	ENSG00000108515			73	73
FBgn0000579	ENSG00000188316			10	14
FBgn0260648	ENSG00000107371			44	37
FBgn0031360	ENSG00000100612			35	33
FBgn0031361	ENSG00000147679			38	37
FBgn0027597	ENSG00000145990			44	44
FBgn0027597	ENSG00000141098			45	45
FBgn0051665	ENSG00000187957			12	19
FBgn0031374	ENSG00000137802			30	30
FBgn0031374	ENSG00000075702			29	29
FBgn0053673	ENSG00000178719			27	17
FBgn0053673	ENSG00000135472			22	16
FBgn0053673	ENSG00000135926			26	20
FBgn0031375	ENSG00000128610			34	43
FBgn0031375	ENSG00000153266			31	41
FBgn0031376	ENSG00000136986			43	42
FBgn0031377	ENSG00000158636			31	24
FBgn0031378	ENSG00000111911			29	26
FBgn0031379	ENSG00000116685			25	25
FBgn0001125	ENSG00000125166			60	60
FBgn0031381	ENSG00000119655			36	35
FBgn0053543	ENSG00000148357			8	5
FBgn0031384	ENSG00000119682			40	48
FBgn0003557	ENSG00000198373			49	53
FBgn0003557	ENSG00000123124			51	53
FBgn0003557	ENSG00000078747			47	52
FBgn0031389	ENSG00000187950			21	5
FBgn0004507	ENSG00000100994			70	70
FBgn0004507	ENSG00000068976			72	72
FBgn0004507	ENSG00000100504			71	71
FBgn0031390	ENSG00000125676			40	41
FBgn0027509	ENSG00000141556			39	39
FBgn0031392	ENSG00000156709			40	44
FBgn0000097	ENSG00000139083			16	26
FBgn0000097	ENSG00000010030			14	31
FBgn0031395	ENSG00000160050			18	29
FBgn0031395	ENSG00000024862			19	22
FBgn0051668	ENSG00000256870			32	30
FBgn0051668	ENSG00000105641			30	28
FBgn0051668	ENSG00000148942			28	27
FBgn0051668	ENSG00000138074			31	29
FBgn0053124	ENSG00000256870			32	31
FBgn0053124	ENSG00000105641			28	26
FBgn0053124	ENSG00000148942			29	27
FBgn0053124	ENSG00000138074			29	26
FBgn0031397	ENSG00000155893			22	27
FBgn0010288	ENSG00000118939			50	50
FBgn0010288	ENSG00000154277			44	45
FBgn0031399	ENSG00000164654			33	33
FBgn0031401	ENSG00000182134			23	24
FBgn0031403	ENSG00000111678			32	29
FBgn0010704	ENSG00000113384			68	67
FBgn0010704	ENSG00000143457			62	64
FBgn0262126	ENSG00000176986			43	47
FBgn0262126	ENSG00000150961			38	44
FBgn0051679	ENSG00000167136			22	25
FBgn0052463	ENSG00000167136			36	38
FBgn0051682	ENSG00000167136			21	23
FBgn0031405	ENSG00000144837			21	17
FBgn0031405	ENSG00000163898			20	16
FBgn0031405	ENSG00000188992			21	16
FBgn0028570	ENSG00000168589			48	49
FBgn0028570	ENSG00000125971			53	53
FBgn0031413	ENSG00000225526			21	28
FBgn0031414	ENSG00000162804			9	14
FBgn0014010	ENSG00000108774			72	73
FBgn0014010	ENSG00000111540			70	72
FBgn0014010	ENSG00000144566			72	73
FBgn0261647	ENSG00000110925			17	26
FBgn0261647	ENSG00000178662			16	23
FBgn0261647	ENSG00000144655			18	26
FBgn0031417	ENSG00000104808			36	36
FBgn0031418	ENSG00000104808			40	40
FBgn0031419	ENSG00000122085			24	18
FBgn0031421	ENSG00000163378			37	44
FBgn0031422	ENSG00000184886			25	22
FBgn0031424	ENSG00000091664			39	42
FBgn0031424	ENSG00000179520			38	41
FBgn0031424	ENSG00000104888			39	44
FBgn0031426	ENSG00000144837			23	18
FBgn0031426	ENSG00000163898			21	17
FBgn0031426	ENSG00000188992			23	18
FBgn0085477	ENSG00000144837			25	19
FBgn0085477	ENSG00000163898			24	18
FBgn0085477	ENSG00000188992			26	18
FBgn0085476	ENSG00000144837			21	18
FBgn0085476	ENSG00000163898			20	18
FBgn0085476	ENSG00000188992			25	20
FBgn0031428	ENSG00000168237			39	37
FBgn0000490	ENSG00000125378			29	42
FBgn0000490	ENSG00000125845			28	41
FBgn0000490	ENSG00000143869			15	20
FBgn0000490	ENSG00000163217			16	23
FBgn0000490	ENSG00000156466			18	23
FBgn0000490	ENSG00000128802			16	22
FBgn0000490	ENSG00000125965			18	21
FBgn0015816	ENSG00000092108			56	57
FBgn0011818	ENSG00000184232			31	38
FBgn0031430	ENSG00000197826			28	26
FBgn0031432	ENSG00000106258			22	23
FBgn0031432	ENSG00000160868			22	23
FBgn0031432	ENSG00000160870			22	23
FBgn0031432	ENSG00000059377			19	18
FBgn0031432	ENSG00000021461			21	22
FBgn0041337	ENSG00000106258			21	23
FBgn0041337	ENSG00000160868			21	23
FBgn0041337	ENSG00000160870			21	22
FBgn0041337	ENSG00000059377			20	18
FBgn0041337	ENSG00000021461			21	23
FBgn0026778	ENSG00000113456			30	29
FBgn0031436	ENSG00000184752			39	38
FBgn0031437	ENSG00000162704			51	51
FBgn0031437	ENSG00000136950			47	46
FBgn0026479	ENSG00000087470			65	65
FBgn0031442	ENSG00000126067			31	33
FBgn0031443	ENSG00000126067			41	43
FBgn0051690	ENSG00000179104			33	34
FBgn0031450	ENSG00000185359			41	40
FBgn0031451	ENSG00000102144			56	60
FBgn0031451	ENSG00000170950			54	58
FBgn0031452	ENSG00000108296			28	35
FBgn0250906	ENSG00000102144			70	69
FBgn0250906	ENSG00000170950			68	68
FBgn0031454	ENSG00000156239			38	40
FBgn0031455	ENSG00000143553			31	31
FBgn0031456	ENSG00000064419			42	43
FBgn0031457	ENSG00000167208			24	25
FBgn0031457	ENSG00000124104			26	23
FBgn0031458	ENSG00000117362			47	43
FBgn0031458	ENSG00000138613			46	42
FBgn0026324	ENSG00000166337			53	35
FBgn0028398	ENSG00000166337			46	35
FBgn0019830	ENSG00000178537			50	51
FBgn0031459	ENSG00000169567			56	67
FBgn0031459	ENSG00000137133			53	48
FBgn0031460	ENSG00000144840			27	28
FBgn0004242	ENSG00000143858			76	45
FBgn0004242	ENSG00000067715			76	45
FBgn0004242	ENSG00000129990			61	40
FBgn0004242	ENSG00000149043			45	28
FBgn0031461	ENSG00000119699			13	19
FBgn0031461	ENSG00000092969			13	17
FBgn0031461	ENSG00000105329			13	20
FBgn0031462	ENSG00000067225			40	42
FBgn0031462	ENSG00000143627			40	39
FBgn0031463	ENSG00000131482			19	18
FBgn0031463	ENSG00000141349			20	20
FBgn0031463	ENSG00000152254			22	21
FBgn0031466	ENSG00000106392			35	18
FBgn0031468	ENSG00000106392			34	36
FBgn0031469	ENSG00000106392			19	31
FBgn0031470	ENSG00000187950			20	6
FBgn0031471	ENSG00000187950			20	6
FBgn0031472	ENSG00000106392			29	28
FBgn0031473	ENSG00000154065			42	45
FBgn0015521	ENSG00000171858			73	71
FBgn0051694	ENSG00000006652			36	33
FBgn0051694	ENSG00000214706			36	30
FBgn0031478	ENSG00000107897			32	20
FBgn0031478	ENSG00000181513			18	17
FBgn0031479	ENSG00000117592			59	58
FBgn0051950	ENSG00000183011			35	24
FBgn0028970	ENSG00000137955			59	61
FBgn0024947	ENSG00000187097			34	21
FBgn0024947	ENSG00000197586			34	19
FBgn0041111	ENSG00000072364			12	18
FBgn0041111	ENSG00000144218			12	16
FBgn0041111	ENSG00000155966			12	15
FBgn0041111	ENSG00000172493			13	18
FBgn0024920	ENSG00000176890			61	63
FBgn0004584	ENSG00000100823			23	49
FBgn0260639	ENSG00000131462			75	79
FBgn0260639	ENSG00000037042			74	78
FBgn0031484	ENSG00000213689			21	20
FBgn0031484	ENSG00000183479			22	33
FBgn0031485	ENSG00000258539			42	46
FBgn0031485	ENSG00000203791			42	31
FBgn0250786	ENSG00000173575			43	45
FBgn0250786	ENSG00000153922			42	47
FBgn0025109	ENSG00000139826			39	39
FBgn0002989	ENSG00000085999			53	56
FBgn0025681	ENSG00000164142			25	25
FBgn0025681	ENSG00000051009			26	28
FBgn0025681	ENSG00000151553			12	17
FBgn0025681	ENSG00000158863			13	18
FBgn0031488	ENSG00000205476			20	29
FBgn0031488	ENSG00000055813			17	19
FBgn0031488	ENSG00000175602			11	33
FBgn0031489	ENSG00000007001			40	32
FBgn0031489	ENSG00000183696			42	41
FBgn0031491	ENSG00000128274			26	27
FBgn0031491	ENSG00000118017			20	22
FBgn0031492	ENSG00000110844			42	39
FBgn0031492	ENSG00000196504			43	37
FBgn0031493	ENSG00000087365			53	44
FBgn0031494	ENSG00000171806			38	32
FBgn0031495	ENSG00000184307			24	25
FBgn0031496	ENSG00000163617			18	16
FBgn0031497	ENSG00000031698			68	67
FBgn0243513	ENSG00000143771			40	45
FBgn0031500	ENSG00000130347			36	33
FBgn0042627	ENSG00000169710			44	42
FBgn0027571	ENSG00000169710			44	43
FBgn0031504	ENSG00000124098			36	38
FBgn0031505	ENSG00000151366			26	25
FBgn0031505	ENSG00000259112			22	22
FBgn0011648	ENSG00000170365			75	73
FBgn0011648	ENSG00000113658			73	72
FBgn0011648	ENSG00000120693			71	69
FBgn0260817	ENSG00000042088			32	31
FBgn0014906	ENSG00000140526			42	39
FBgn0085435	ENSG00000197935			23	23
FBgn0031513	ENSG00000141644			12	10
FBgn0031517	ENSG00000136856			25	25
FBgn0031517	ENSG00000160326			24	22
FBgn0031519	ENSG00000132436			36	28
FBgn0031519	ENSG00000182263			25	17
FBgn0031520	ENSG00000136856			19	19
FBgn0031520	ENSG00000160326			19	18
FBgn0053281	ENSG00000136856			26	26
FBgn0053281	ENSG00000160326			23	21
FBgn0053282	ENSG00000136856			23	22
FBgn0053282	ENSG00000160326			20	19
FBgn0031522	ENSG00000136856			24	24
FBgn0031522	ENSG00000160326			21	19
FBgn0031523	ENSG00000136856			23	23
FBgn0031523	ENSG00000160326			21	19
FBgn0020445	ENSG00000143921			20	25
FBgn0085423	ENSG00000023171			15	16
FBgn0085423	ENSG00000089351			12	14
FBgn0085423	ENSG00000178075			10	12
FBgn0031529	ENSG00000198856			60	60
FBgn0031529	ENSG00000224113			32	34
FBgn0016698	ENSG00000119383			36	45
FBgn0031530	ENSG00000143641			54	60
FBgn0031534	ENSG00000205302			47	41
FBgn0031534	ENSG00000028528			44	38
FBgn0031535	ENSG00000158552			40	39
FBgn0031535	ENSG00000178381			30	52
FBgn0031536	ENSG00000136152			39	43
FBgn0031537	ENSG00000112685			35	34
FBgn0005616	ENSG00000174579			16	22
FBgn0021967	ENSG00000140990			30	27
FBgn0031540	ENSG00000140451			43	44
FBgn0051776	ENSG00000110328			20	21
FBgn0051776	ENSG00000182870			5	12
FBgn0051776	ENSG00000130035			20	19
FBgn0051776	ENSG00000185274			19	20
FBgn0051956	ENSG00000174473			38	40
FBgn0051956	ENSG00000164574			38	41
FBgn0051956	ENSG00000136542			31	21
FBgn0261560	ENSG00000148730			38	37
FBgn0261560	ENSG00000187840			36	36
FBgn0261560	ENSG00000243056			34	40
FBgn0014396	ENSG00000111602			25	19
FBgn0051954	ENSG00000010438			34	31
FBgn0051954	ENSG00000204983			33	37
FBgn0051954	ENSG00000129437			32	33
FBgn0051954	ENSG00000165076			16	19
FBgn0051954	ENSG00000258223			20	23
FBgn0053123	ENSG00000133706			59	59
FBgn0031544	ENSG00000108588			44	43
FBgn0031549	ENSG00000040275			14	19
FBgn0031550	ENSG00000114446			35	33
FBgn0004892	ENSG00000164920			27	50
FBgn0004892	ENSG00000143867			19	41
FBgn0004892	ENSG00000172006			14	15
FBgn0002985	ENSG00000164920			29	37
FBgn0002985	ENSG00000143867			23	34
FBgn0002985	ENSG00000172006			19	14
FBgn0015663	ENSG00000174607			20	20
FBgn0015663	ENSG00000168671			16	16
FBgn0015663	ENSG00000145626			15	16
FBgn0085369	ENSG00000156150			10	18
FBgn0085369	ENSG00000180318			12	21
FBgn0085369	ENSG00000175329			8	20
FBgn0031562	ENSG00000243543			3	5
FBgn0031562	ENSG00000101446			22	33
FBgn0031562	ENSG00000101448			22	16
FBgn0031562	ENSG00000249139			22	16
FBgn0031562	ENSG00000127578			24	6
FBgn0031562	ENSG00000173714			23	5
FBgn0015376	ENSG00000127586			29	30
FBgn0031566	ENSG00000125772			33	34
FBgn0003386	ENSG00000131398			38	31
FBgn0003386	ENSG00000129159			37	39
FBgn0003386	ENSG00000116396			37	36
FBgn0003386	ENSG00000166006			38	37
FBgn0004893	ENSG00000164920			19	45
FBgn0004893	ENSG00000143867			12	35
FBgn0004893	ENSG00000172006			11	15
FBgn0051960	ENSG00000198668			57	57
FBgn0051960	ENSG00000143933			57	57
FBgn0051960	ENSG00000160014			57	57
FBgn0051960	ENSG00000178363			49	49
FBgn0051958	ENSG00000198668			46	48
FBgn0051958	ENSG00000143933			46	48
FBgn0051958	ENSG00000160014			46	48
FBgn0051958	ENSG00000178363			41	43
FBgn0004567	ENSG00000176165			33	31
FBgn0031574	ENSG00000135912			30	25
FBgn0031575	ENSG00000182504			27	25
FBgn0051957	ENSG00000175376			42	41
FBgn0000256	ENSG00000155816			24	17
FBgn0000256	ENSG00000248905			20	20
FBgn0051773	ENSG00000136877			21	27
FBgn0031585	ENSG00000084764			10	21
FBgn0031585	ENSG00000101367			11	23
FBgn0031585	ENSG00000166974			11	18
FBgn0051961	ENSG00000124659			29	30
FBgn0031589	ENSG00000147813			37	45
FBgn0001075	ENSG00000196159			35	36
FBgn0031590	ENSG00000104853			51	49
FBgn0003941	ENSG00000221983			98	98
FBgn0010473	ENSG00000080854			28	18
FBgn0010473	ENSG00000085552			26	20
FBgn0028482	ENSG00000080854			27	14
FBgn0028482	ENSG00000085552			26	16
FBgn0020762	ENSG00000172350			41	53
FBgn0020762	ENSG00000160179			43	53
FBgn0031596	ENSG00000182224			35	33
FBgn0026319	ENSG00000076604			38	40
FBgn0031598	ENSG00000141252			47	50
FBgn0261976	ENSG00000131153			36	42
FBgn0031600	ENSG00000181704			50	47
FBgn0022153	ENSG00000177728			30	32
FBgn0031601	ENSG00000141759			96	96
FBgn0031601	ENSG00000140830			35	33
FBgn0031603	ENSG00000105058			46	48
FBgn0031604	ENSG00000134014			82	82
FBgn0025684	ENSG00000101194			35	36
FBgn0031606	ENSG00000106443			24	28
FBgn0031607	ENSG00000180098			35	41
FBgn0031607	ENSG00000137434			6	13
FBgn0040705	ENSG00000131495			46	44
FBgn0019982	ENSG00000130021			51	47
FBgn0261606	ENSG00000166441			64	65
FBgn0053002	ENSG00000108826			34	32
FBgn0031611	ENSG00000112367			42	40
FBgn0031613	ENSG00000108468			40	23
FBgn0031613	ENSG00000122565			34	20
FBgn0031613	ENSG00000094916			36	20
FBgn0031619	ENSG00000178226			28	10
FBgn0031619	ENSG00000052344			27	25
FBgn0031619	ENSG00000172382			28	31
FBgn0031619	ENSG00000151006			20	12
FBgn0031619	ENSG00000005001			26	26
FBgn0031622	ENSG00000101901			22	9
FBgn0031622	ENSG00000164164			16	8
FBgn0031627	ENSG00000148357			10	6
FBgn0031628	ENSG00000169249			30	19
FBgn0031628	ENSG00000212643			29	19
FBgn0031630	ENSG00000162496			31	33
FBgn0031631	ENSG00000101452			49	47
FBgn0031633	ENSG00000168522			47	41
FBgn0031633	ENSG00000254673			32	52
FBgn0031635	ENSG00000149547			29	43
FBgn0031636	ENSG00000118855			48	46
FBgn0031639	ENSG00000122140			52	46
FBgn0031640	ENSG00000164077			37	30
FBgn0031640	ENSG00000103111			32	31
FBgn0031643	ENSG00000101782			37	43
FBgn0031651	ENSG00000143314			43	50
FBgn0015000	ENSG00000164219			40	42
FBgn0031653	ENSG00000168925			30	29
FBgn0031653	ENSG00000168928			29	29
FBgn0031653	ENSG00000141086			29	28
FBgn0031653	ENSG00000139610			25	25
FBgn0031654	ENSG00000168925			26	28
FBgn0031654	ENSG00000168928			26	27
FBgn0031654	ENSG00000141086			27	28
FBgn0031654	ENSG00000139610			22	24
FBgn0020906	ENSG00000168925			31	31
FBgn0020906	ENSG00000168928			30	30
FBgn0020906	ENSG00000141086			27	27
FBgn0020906	ENSG00000139610			24	25
FBgn0031655	ENSG00000138375			31	25
FBgn0083960	ENSG00000206530			23	25
FBgn0015834	ENSG00000084623			61	61
FBgn0262467	ENSG00000133028			50	42
FBgn0031657	ENSG00000171453			53	51
FBgn0031659	ENSG00000198954			30	29
FBgn0031660	ENSG00000086504			29	34
FBgn0031661	ENSG00000112699			64	68
FBgn0031662	ENSG00000129255			44	45
FBgn0031663	ENSG00000125877			64	63
FBgn0031664	ENSG00000163960			28	28
FBgn0083962	ENSG00000065060			24	25
FBgn0083962	ENSG00000111647			25	26
FBgn0053113	ENSG00000139970			46	13
FBgn0053113	ENSG00000133318			45	10
FBgn0053113	ENSG00000115310			44	8
FBgn0031668	ENSG00000106400			53	52
FBgn0259719	ENSG00000185068			63	65
FBgn0031670	ENSG00000198843			37	37
FBgn0016075	ENSG00000112280			16	34
FBgn0016075	ENSG00000092758			16	45
FBgn0016075	ENSG00000049089			15	43
FBgn0000299	ENSG00000188153			42	44
FBgn0000299	ENSG00000169031			39	41
FBgn0000299	ENSG00000197565			40	42
FBgn0000299	ENSG00000187498			41	44
FBgn0000299	ENSG00000081052			39	41
FBgn0000299	ENSG00000134871			40	42
FBgn0031674	ENSG00000213337			23	41
FBgn0031674	ENSG00000186106			13	18
FBgn0031675	ENSG00000183475			19	30
FBgn0031675	ENSG00000196372			14	25
FBgn0031675	ENSG00000165192			13	21
FBgn0031675	ENSG00000065802			13	20
FBgn0031675	ENSG00000164122			14	21
FBgn0031675	ENSG00000198881			12	20
FBgn0031675	ENSG00000102048			13	23
FBgn0022023	ENSG00000147677			44	43
FBgn0031676	ENSG00000138459			21	19
FBgn0031676	ENSG00000176087			18	21
FBgn0031677	ENSG00000170627			35	20
FBgn0031677	ENSG00000124196			31	20
FBgn0028694	ENSG00000115233			89	88
FBgn0261608	ENSG00000197756			75	75
FBgn0031681	ENSG00000144278			55	62
FBgn0031681	ENSG00000141429			54	61
FBgn0031684	ENSG00000145494			44	45
FBgn0261836	ENSG00000131016			3	26
FBgn0031688	ENSG00000106258			26	25
FBgn0031688	ENSG00000160868			25	25
FBgn0031688	ENSG00000160870			26	25
FBgn0031688	ENSG00000059377			24	20
FBgn0031688	ENSG00000021461			25	25
FBgn0031689	ENSG00000106258			26	26
FBgn0031689	ENSG00000160868			25	25
FBgn0031689	ENSG00000160870			25	25
FBgn0031689	ENSG00000059377			23	19
FBgn0031689	ENSG00000021461			25	25
FBgn0031690	ENSG00000109680			40	39
FBgn0250847	ENSG00000144837			24	18
FBgn0250847	ENSG00000163898			23	17
FBgn0250847	ENSG00000188992			26	18
FBgn0031692	ENSG00000114854			29	27
FBgn0031692	ENSG00000101470			30	28
FBgn0031692	ENSG00000169885			32	27
FBgn0031693	ENSG00000171954			25	24
FBgn0031693	ENSG00000186115			27	27
FBgn0031693	ENSG00000186529			27	27
FBgn0031693	ENSG00000171903			26	26
FBgn0031693	ENSG00000186526			28	27
FBgn0031693	ENSG00000186204			27	26
FBgn0031693	ENSG00000225607			8	21
FBgn0031694	ENSG00000171954			24	24
FBgn0031694	ENSG00000186115			26	25
FBgn0031694	ENSG00000186529			25	25
FBgn0031694	ENSG00000171903			26	25
FBgn0031694	ENSG00000186526			27	26
FBgn0031694	ENSG00000186204			26	25
FBgn0031694	ENSG00000225607			8	21
FBgn0031695	ENSG00000171954			24	23
